survey_date,panel,distributed_date,received_by_date,source_file,notes
2022-06-01,SPD,2022-06-01,2022-06-06,data_raw/jun-2022-spd-results.pdf,
2022-07-01,SMP,2022-07-13,2022-07-18,data_raw/jul-2022-smp-results.pdf,
2022-07-01,SPD,2022-07-13,2022-07-18,data_raw/jul-2022-spd-results.pdf,
2022-09-01,SMP,2022-09-07,2022-09-12,data_raw/sep-2022-smp-results.pdf,
2022-09-01,SPD,2022-09-07,2022-09-12,data_raw/sep-2022-spd-results.pdf,
2022-11-01,SMP,2022-10-19,2022-10-24,data_raw/nov-2022-smp-results.pdf,
2022-11-01,SPD,2022-10-19,2022-10-24,data_raw/nov-2022-spd-results.pdf,
2022-12-01,SMP,2022-11-30,2022-12-05,data_raw/dec-2022-smp-results.pdf,
2022-12-01,SPD,2022-11-30,2022-12-05,data_raw/dec-2022-spd-results.pdf,
2023-02-01,SMP,2023-01-18,2023-01-23,data_raw/jan-feb-2023-smp-results.pdf,
2023-02-01,SPD,2023-01-18,2023-01-23,data_raw/jan-feb-2023-spd-results.pdf,
2023-03-01,SMP,2023-03-08,2023-03-14,data_raw/mar-2023-smp-results.pdf,
2023-03-01,SPD,2023-03-08,2023-03-14,data_raw/mar-2023-spd-results.pdf,
2023-05-01,SMP,2023-04-19,2023-04-24,data_raw/may-2023-smp-results.pdf,image_only_cover_manual
2023-05-01,SPD,2023-04-19,2023-04-24,data_raw/may-2023-spd-results.pdf,image_only_cover_manual
2023-06-01,SMP,2023-05-31,2023-06-05,data_raw/jun-2023-smp-results.pdf,
2023-06-01,SPD,2023-05-31,2023-06-05,data_raw/jun-2023-spd-results.pdf,
2023-07-01,SMP,2023-07-12,2023-07-17,data_raw/jul-2023-smp-results.pdf,
2023-07-01,SPD,2023-07-12,2023-07-17,data_raw/jul-2023-spd-results.pdf,
2023-09-01,SMP,2023-09-06,2023-09-11,data_raw/sep-2023-smp-results.pdf,
2023-09-01,SPD,2023-09-06,2023-09-11,data_raw/sep-2023-spd-results.pdf,
2023-10-01,SMP,2023-10-18,2023-10-23,data_raw/oct-2023-smp-results.pdf,
2023-10-01,SPD,2023-10-18,2023-10-23,data_raw/oct-2023-spd-results.pdf,
2023-12-01,SMP,2023-11-29,2023-12-04,data_raw/dec-2023-smp-results.pdf,
2023-12-01,SPD,2023-11-29,2023-12-04,data_raw/dec-2023-spd-results.pdf,
2024-01-01,SMP,2024-01-17,2024-01-22,data_raw/jan-2024-smp-results.pdf,
2024-01-01,SPD,2024-01-17,2024-01-22,data_raw/jan-2024-spd-results.pdf,
2024-03-01,SMP,2024-03-06,2024-03-11,data_raw/mar-2024-smp-results.pdf,
2024-03-01,SPD,2024-03-06,2024-03-11,data_raw/mar-2024-spd-results.pdf,
2024-05-01,SMP,2024-04-17,2024-04-22,data_raw/apr-may-2024-smp-results.pdf,
2024-05-01,SPD,2024-04-17,2024-04-22,data_raw/apr-may-2024-spd-results.pdf,
2024-06-01,SMP,2024-05-29,2024-06-03,data_raw/jun-2024-smp-results.pdf,
2024-06-01,SPD,2024-05-29,2024-06-03,data_raw/jun-2024-spd-results.pdf,
2024-07-01,SMP,2024-07-17,2024-07-22,data_raw/jul-2024-smp-results.pdf,
2024-07-01,SPD,2024-07-17,2024-07-22,data_raw/jul-2024-spd-results.pdf,
2024-09-01,SMP,2024-09-04,2024-09-09,data_raw/sep-2024-smp-results.pdf,
2024-09-01,SPD,2024-09-04,2024-09-09,data_raw/sep-2024-spd-results.pdf,
2024-11-01,SMP,2024-10-23,2024-10-28,data_raw/nov-2024-smp-results.pdf,
2024-11-01,SPD,2024-10-23,2024-10-28,data_raw/nov-2024-spd-results.pdf,
2024-12-01,SMP,2024-12-04,2024-12-09,data_raw/dec-2024-smp-results.pdf,
2024-12-01,SPD,2024-12-04,2024-12-09,data_raw/dec-2024-spd-results.pdf,
2025-01-01,Combined,2025-01-15,2025-01-21,data_raw/jan-2025-sme-results.pdf,
2025-03-01,Combined,2025-03-05,2025-03-10,data_raw/mar-2025-sme-results.pdf,
2025-05-01,Combined,2025-04-23,2025-04-28,data_raw/may-2025-sme-results.pdf,
2025-06-01,Combined,2025-06-04,2025-06-09,data_raw/jun-2025-sme-results.pdf,
2025-07-01,Combined,2025-07-16,2025-07-21,data_raw/jul-2025-sme-results.pdf,
2025-09-01,Combined,2025-09-03,2025-09-08,data_raw/sep-2025-sme-results.pdf,
2025-10-01,Combined,2025-10-15,2025-10-20,data_raw/oct-2025-sme-results.pdf,
2025-12-01,Combined,2025-11-25,2025-12-01,data_raw/dec-2025-sme-results.pdf,
2026-01-01,Combined,2026-01-14,2026-01-20,data_raw/jan-2026-sme-results.pdf,
2026-03-01,Combined,2026-03-04,2026-03-09,data_raw/mar-2026-sme-results.pdf,
2026-04-01,Combined,2026-04-15,2026-04-20,data_raw/apr-2026-sme-results.pdf,
